"Time" "GATdat80.x" "GATdat80.y" "GATdat20.x" "GATdat20.y" "GAT20" "GAT80" "MAT" "CMT" "SST20" "SST80"
"9501" 25.372 25.372 17.6891674403675 25.372 17.631331025913 15.3030811274408 15.3632997908267 9.69531668216173 -1.5006903631684 18.9336888647183 18.9613098884238
"9502" 25.374 25.374 17.6884961327541 25.374 17.631119751501 15.3030394697877 15.3627446859795 9.69502535859665 -1.5009939624718 18.933563422548 18.9606742212442
"9503" 25.378 25.378 17.6871477048454 25.378 17.6306971170607 15.3029560534776 15.3616286469426 9.69443665827463 -1.50160695190881 18.9333124717679 18.9593971224068
"9504" 25.382 25.382 17.6857916516995 25.382 17.630274371425 15.3028725054871 15.3605049604929 9.69384001203217 -1.50222753744666 18.9330614353681 18.9581124626096
"9505" 25.386 25.386 17.684428123323 25.386 17.6298515181459 15.3027888294057 15.3593737766828 9.69323556987174 -1.50285556907806 18.932810316908 18.9568203918661
"9506" 25.388 25.388 17.6837436028003 25.388 17.62964005225 15.3027469444526 15.358805420159 9.69293047219803 -1.50317233030157 18.9326847280177 18.9561716242686
"9507" 25.392 25.392 17.6823691428402 25.392 17.6292170441655 15.3026630829653 15.3576632716567 9.69231461741518 -1.50381124980962 18.9324334931412 18.9548687183805
"9508" 25.396 25.396 17.6809875826659 25.396 17.6287939373173 15.302579102361 15.3565140009252 9.69169134172044 -1.50445724039301 18.9321821851032 18.9535587765794
"9509" 25.398 25.398 17.6802941868754 25.398 17.6285823479667 15.3025370685117 15.3559367416148 9.69137696790687 -1.50478284046067 18.9320565047609 18.9529012140907
"9510" 25.402 25.402 17.6789022576422 25.402 17.6281590996326 15.3024529159623 15.3547770688878 9.69074284209888 -1.50543915639338 18.9318050936547 18.9515809996951
"9511" 25.406 25.406 17.6775036032111 25.406 17.6277357614145 15.3023686532698 15.3536106490627 9.69010167038508 -1.50610216838319 18.9315536182856 18.9502541244199
"9512" 25.408 25.408 17.6768018009235 25.408 17.6275240597089 15.3023264817416 15.3530249558798 9.68977848918928 -1.50643613852224 18.9314278576149 18.9495882358316
"9513" 25.412 25.412 17.6753933399582 25.412 17.6271005933244 15.3022420605649 15.3518486967559 9.68912702987137 -1.50710891333403 18.9311762925257 18.9482516505121
"9514" 25.416 25.416 17.6739785288116 25.416 17.6266770459356 15.3021575382189 15.350666065665 9.68846889965377 -1.50778800918471 18.9309246720724 18.9469087793463
"9515" 25.42 25.42 17.6725575174902 25.42 17.6262534210944 15.3020729182933 15.3494772126596 9.68780424853891 -1.50847327606699 18.9306729998146 18.9455597723478
"9516" 25.422 25.422 17.671844733641 25.422 17.626041580739 15.3020305728599 15.3488804998304 9.68746952452077 -1.50881817676769 18.9305471453713 18.9448830147904
"9517" 25.426 25.426 17.6704147033198 25.426 17.6256178463789 15.3019458132952 15.3476825953015 9.6867953733146 -1.50951241893367 18.9302954020807 18.9435250853178
"9518" 25.43 25.43 17.6689788478404 25.43 17.6251940434459 15.3018609651247 15.3464788439891 9.68611507621728 -1.51021245711303 18.9300436158843 18.9421613950459
"9519" 25.432 25.432 17.6682587825434 25.432 17.6249821173746 15.301818508934 15.3458748226806 9.6857726698352 -1.51056460283044 18.9299177078087 18.9414774364894
"9520" 25.436 25.436 17.6668144705888 25.436 17.6245582182423 15.3017335345852 15.3446625825413 9.68508343515571 -1.51127305376617 18.9296658639277 18.9401053862936
"9521" 25.44 25.44 17.6653647084923 25.44 17.6241342594169 15.3016484806044 15.3434448707497 9.68438842959116 -1.51198692569704 18.9294139860396 18.9387279503321
"9522" 25.442 25.442 17.664637830518 25.442 17.6239222587292 15.3016059248738 15.3428340098756 9.68403880960275 -1.51234584765838 18.9292880354553 18.9380372595684
"9523" 25.446 25.446 17.663180174471 25.446 17.623498217024 15.3015207581755 15.3416083719536 9.6833354289652 -1.5130675698183 18.9290361132307 18.9366520262334
"9524" 25.448 25.448 17.6624494339001 25.448 17.6232861768944 15.3014781481052 15.3409936324188 9.68298170581665 -1.51343033251506 18.9289101424804 18.9359575211655
"9525" 25.452 25.452 17.6609842214176 25.452 17.6228620603011 15.3013928767658 15.3397604059844 9.68227028761157 -1.51415956738763 18.9286581839282 18.9345648279872
"9526" 25.456 25.456 17.6595141588194 25.456 17.6224378982222 15.3013075401525 15.3385223081072 9.68155369853117 -1.51489362322618 18.928406205607 18.9331673490969
"9527" 25.458 25.458 17.658777355604 25.458 17.6222258012356 15.30126484849 15.3379014792689 9.6811935117885 -1.51526241213043 18.9282802101454 18.9324668618889
"9528" 25.462 25.462 17.6573002990949 25.462 17.6218015775882 15.3011794206964 15.3366563555758 9.68046944764973 -1.51600341815427 18.9280282088448 18.9310624857058
"9529" 25.464 25.464 17.6565600833027 25.464 17.6215894518153 15.3011366854627 15.336032098234 9.68010560775424 -1.51637559777207 18.9279022038957 18.9303586342339
"9530" 25.468 25.468 17.6550763703973 25.468 17.621165174591 15.3010511745651 15.3347802863428 9.67937440606257 -1.51712321646484 18.9276501876246 18.9289476982882
"9531" 25.472 25.472 17.6535884074027 25.472 17.6207408660888 15.3009656127519 15.3335242032184 9.67863863350536 -1.51787505609442 18.9273981658225 18.9275325766842
"9532" 25.474 25.474 17.6528428789989 25.474 17.6205287012183 15.3009228138736 15.3328946068351 9.67826908002794 -1.51825251188325 18.9272721539597 18.9268234931396
"9533" 25.478 25.478 17.6513488221327 25.478 17.6201043524588 15.300837182417 15.331632398209 9.67752673242699 -1.51901040165441 18.9270201305352 18.9254023743235
"9534" 25.482 25.482 17.6498508901937 25.482 17.6196799813009 15.3007515090186 15.3303662934806 9.67678018896659 -1.51977213734417 18.9267681104786 18.923977444883
"9535" 25.484 25.484 17.6491005179489 25.484 17.6194677884325 15.3007086577128 15.3297318269695 9.67640539066486 -1.52015440053125 18.9266421028256 18.9232635980577
"9536" 25.488 25.488 17.647597054663 25.488 17.6190433903369 15.3006229281318 15.3284601594358 9.67565283466985 -1.52092162383525 18.9263900944948 18.9218332339556
"9537" 25.49 25.49 17.6468440011234 25.49 17.6188311859976 15.3005800507539 15.3278229959265 9.6752751144772 -1.52130654645034 18.926264094707 18.9211167541822
"9538" 25.494 25.494 17.6453353440054 25.494 17.618406768956 15.3004942730667 15.3265461032055 9.67451688345309 -1.52207891985216 18.926012106111 18.9196812929489
"9539" 25.498 25.498 17.6438234118408 25.498 17.6179823437235 15.3004084677956 15.3252659145916 9.67375505657928 -1.52285453914344 18.9257601351209 18.9182426211451
"9540" 25.5 25.5 17.6430662644931 25.5 17.6177701291457 15.3003655559378 15.3246246312162 9.67337284157451 -1.52324351912034 18.9256341573405 18.9175221281585
"9541" 25.502 25.502 17.6423083546362 25.502 17.6175579138522 15.3003226385301 15.3239825801372 9.67298978385823 -1.52363325431686 18.9255081852963 18.9168008887843
"9542" 25.504 25.504 17.641549701021 25.504 17.6173456982868 15.3002797160212 15.3233397801112 9.67260590218074 -1.52402372598211 18.9253822194334 18.9160789217742
"9543" 25.508 25.508 17.6400302375189 25.508 17.6169212681168 15.3001938574944 15.3220520082442 9.67183574194339 -1.5248068037151 18.925130308031 18.9146328798532
"9544" 25.51 25.51 17.6392694651336 25.51 17.6167090544001 15.3001509223739 15.3214070739164 9.67144950088413 -1.52519937228102 18.9250043633814 18.9139088424456
"9545" 25.514 25.514 17.6377459328487 25.514 17.6162846319232 15.3000650426623 15.3201152022546 9.67067479063595 -1.52598647505718 18.9247524984102 18.9124588284948
"9546" 25.518 25.518 17.6362198755501 25.518 17.6158602190149 15.2999791533142 15.3188207849617 9.66989723455028 -1.52677607368632 18.9245006688426 18.9110063540411
"9547" 25.52 25.52 17.6354559468977 25.52 17.6156480172589 15.2999362061482 15.3181726685949 9.66950743619415 -1.52717176206849 18.9243747684475 18.9102792410048
"9548" 25.524 25.524 17.633926383341 25.524 17.6152236253633 15.2998503090758 15.3168747142034 9.66872589260681 -1.52796482321346 18.9241229986592 18.9088233570721
