Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
71100	-450.395336061756	5	3	2
71200	-449.139322127928	3	2	4
71300	-445.826769520264	3	2	1
71400	-453.907757895578	4	1	2
71500	-456.697667067303	3	3	3
71600	-456.362851885079	4	2	1
71700	-447.245254158774	3	1	3
71800	-448.193477783637	3	3	1
71900	-448.554000149542	5	3	2
72000	-450.366235915058	3	2	4
72100	-445.158450419052	4	2	2
72200	-451.537206757221	4	1	2
72300	-443.503999063345	4	1	0
72400	-455.038914480388	5	2	2
72500	-450.461888831008	5	6	0
72600	-454.492458512696	5	2	1
72700	-445.529704527545	4	3	1
72800	-443.158051265771	4	1	0
72900	-449.052561097685	4	1	1
73000	-451.995191054291	5	5	0
73100	-440.48827651749	4	3	0
73200	-440.192644584281	3	2	1
73300	-440.288183340957	3	2	1
73400	-449.10473438769	5	3	1
73500	-452.24587848441	4	1	1
73600	-456.140549735987	4	3	1
73700	-441.967702412348	3	1	1
73800	-449.225768080577	3	4	1
73900	-448.584665250288	4	2	2
74000	-451.295740104597	3	2	3
74100	-443.090007618836	4	2	1
74200	-444.279044172473	3	1	1
74300	-444.469042065269	4	1	1
74400	-446.096099825393	4	1	1
74500	-450.413505049873	3	1	3
74600	-456.307876980516	4	2	3
74700	-446.428606561621	5	1	1
74800	-448.406160827632	3	3	2
74900	-451.170986729576	4	1	2
75000	-447.66892021671	3	3	2
75100	-454.953925414243	3	4	1
75200	-449.427262067271	4	1	3
75300	-448.444282864775	4	1	1
75400	-457.309611380133	6	1	1
75500	-447.439192721931	4	3	0
75600	-453.8427125195	7	1	1
75700	-457.377929054484	4	1	3
75800	-442.705868363799	4	2	0
75900	-459.579608792795	7	1	1
76000	-449.637385727142	4	3	1
76100	-443.126202736619	4	1	1
76200	-454.884412030767	5	2	1
76300	-450.137189029191	4	3	0
76400	-444.113235550844	3	1	1
76500	-444.024899877898	3	1	1
76600	-441.715630950987	3	2	1
76700	-450.770183763097	4	3	1
76800	-451.540286623724	4	2	4
76900	-451.20019670445	4	3	2
77000	-452.887477744179	4	3	3
77100	-446.21329540162	3	1	2
77200	-445.67590915426	3	2	3
77300	-445.627402834679	3	2	1
77400	-445.582566290083	3	1	2
77500	-453.214333241237	3	3	2
77600	-456.328922663817	5	1	4
77700	-447.224173109227	3	1	4
77800	-450.240762705947	3	2	4
77900	-455.722246299717	3	1	3
78000	-452.390350228146	3	5	4
78100	-447.167082899685	3	1	2
78200	-450.566803014304	3	1	4
78300	-449.855917757785	3	3	3
78400	-444.993774531286	3	1	1
78500	-450.682957143625	3	3	1
78600	-443.148581610122	4	1	0
78700	-453.164534204433	4	2	0
78800	-450.487079121194	4	1	0
78900	-452.764717944998	5	3	1
79000	-445.065209862719	4	1	1
79100	-454.390954766389	5	1	3
79200	-449.433110468563	4	2	2
79300	-448.503735569942	4	2	2
79400	-451.782477369599	6	1	1
79500	-442.819746628705	3	2	1
79600	-452.350841906676	4	1	2
79700	-447.61159510973	3	2	3
79800	-452.564654290327	3	2	2
79900	-457.056748818479	2	4	3
80000	-452.590442530439	2	3	4
80100	-456.656519983288	2	4	2
80200	-448.332772828559	2	5	1
80300	-453.950432895929	2	2	3
80400	-448.405791097506	2	2	2
80500	-449.529745830322	2	3	2
80600	-449.396992357859	2	2	1
80700	-451.55304650782	3	2	2
80800	-447.302047214956	2	2	1
80900	-449.891750449205	3	3	3
81000	-451.685830220354	2	2	2
81100	-444.219618235031	2	3	2
81200	-453.981943836178	3	7	1
81300	-454.976335794724	2	2	2
81400	-450.212749371127	2	2	3
